Ascension Year,Forename,Regnal No
1066,William,1
1087,William,2
1100,Henry,1
1135,Stephen,1
1154,Henry,2
1189,Richard,1
1199,John,1
1216,Henry,3
1272,Edward,1
1307,Edward,2
1327,Edward,3
1377,Richard,2
1399,Henry,4
1413,Henry,5
1422,Henry,6
1461,Edward,4
1483,Edward,5
1483,Richard,3
1485,Henry,7
1509,Henry,8
1547,Edward,6
1553,Mary,1
1558,Elizabeth,1
1603,James,1
1625,Charles,1
1649,Oliver,1
1660,Charles,2
1685,James,2
1688,William,3
1702,Anne,1
1714,George,1
1727,George,2
1760,George,3
1820,George,4
1830,William,4
1837,Victoria,1
1901,Edward,7
1910,George,5
1936,Edward,8
1936,George,6
1952,Elizabeth,2
